Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
CAL	CAL	CAL	CAL
mSecs	m/(sec^2)	m/(sec^2)	m/(sec^2)
2849299,866	10,772	-1,119	-3,693
2849304,749	10,861	-1,059	-3,842
2849309,631	10,871	-1,178	-3,901
2849314,514	10,921	-0,980	-3,842
2849319,397	10,792	-1,149	-3,871
2849324,280	10,931	-1,010	-3,822
2849329,163	10,802	-1,119	-3,851
2849334,045	10,911	-1,059	-3,792
2849338,928	10,960	-1,040	-3,653
2849343,811	10,921	-1,050	-3,772
2849348,694	10,931	-1,208	-3,723
2849353,577	10,851	-0,980	-3,743
2849358,459	10,822	-1,109	-3,891
2849363,342	10,792	-1,040	-3,812
2849368,225	10,911	-1,149	-3,812
2849373,108	10,980	-1,010	-3,812
2849377,991	10,792	-0,990	-3,911
2849382,874	10,921	-1,020	-3,772
2849387,756	10,752	-0,990	-3,970
2849392,639	10,792	-0,950	-3,851
2849397,522	10,980	-1,089	-3,703
2849402,405	10,822	-1,030	-3,881
2849407,288	10,881	-0,990	-3,762
2849412,170	10,851	-0,990	-3,802
2849417,053	10,812	-1,089	-3,703
2849421,936	10,772	-1,059	-3,871
2849426,819	11,000	-1,089	-3,812
2849431,702	10,832	-1,020	-3,851
2849436,584	10,950	-1,050	-3,842
2849441,467	10,802	-1,158	-3,752
2849446,350	10,921	-1,020	-3,792
2849451,233	10,941	-1,069	-3,752
2849456,116	10,911	-1,119	-3,851
2849460,999	10,802	-1,079	-3,752
2849465,881	10,881	-1,030	-3,871
2849470,764	10,822	-1,109	-3,802
2849475,647	10,832	-1,059	-3,812
2849480,530	10,891	-1,030	-3,752
2849485,413	10,901	-1,079	-3,822
2849490,295	11,059	-1,218	-3,812
2849495,178	10,743	-1,000	-3,762
2849500,061	11,030	-0,772	-4,099
2849504,944	10,871	-1,168	-3,772
2849509,827	11,030	-1,000	-3,812
2849514,709	10,545	-1,129	-3,851
2849519,592	10,703	-1,099	-4,129
2849524,475	10,851	-1,119	-3,881
2849529,358	10,802	-1,059	-3,842
2849534,241	10,584	-1,574	-4,040
2849539,124	10,950	-1,109	-4,040
2849544,006	10,891	-1,158	-3,782
2849548,889	10,931	-1,069	-3,901
2849553,772	11,000	-0,772	-4,634
2849558,655	10,970	-1,218	-3,842
2849563,538	10,861	-1,010	-3,683
2849568,420	10,960	-1,040	-3,792
2849573,303	10,990	-0,941	-3,881
2849578,186	10,822	-0,970	-3,851
2849583,069	10,891	-0,990	-3,881
