Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X*	Gyroscope Y*	Gyroscope Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
109453794	2001	1616	2330
109453954	2010	1615	2362
109454114	2020	1646	2385
109454274	2017	1663	2391
109454434	2027	1661	2388
109454594	2030	1663	2363
109454754	2013	1663	2363
109454914	2035	1663	2348
109455074	2043	1652	2337
109455234	2010	1652	2318
109455394	2009	1638	2327
109455554	2000	1638	2321
109455714	2004	1612	2334
109455874	2017	1629	2330
109456034	2012	1607	2329
109456194	2008	1587	2304
109456354	1991	1587	2285
109456514	1978	1591	2284
109456674	1972	1566	2291
109456834	1960	1572	2282
109456994	1968	1562	2302
109457154	1985	1587	2271
109457314	1985	1592	2289
109457474	1998	1615	2301
109457634	2015	1636	2303
109457794	2043	1622	2300
109457954	2056	1639	2315
109458114	2057	1644	2304
109458274	2078	1630	2294
109458434	2080	1632	2269
109458594	2084	1623	2260
109458754	2086	1619	2287
109458914	2090	1601	2280
109459074	2097	1610	2250
109459234	2093	1598	2245
109459394	2096	1594	2255
109459554	2084	1611	2276
109459714	2057	1573	2273
109459874	2034	1534	2266
109460034	2028	1539	2259
109460194	2008	1542	2260
109460354	2009	1527	2260
109460514	2013	1527	2287
109460674	2023	1554	2302
109460834	2034	1548	2316
109460994	2024	1540	2275
109461154	2050	1537	2240
109461314	2048	1540	2227
109461474	2069	1540	2199
109461634	2091	1528	2203
109461794	2099	1549	2230
109461954	2097	1545	2206
109462114	2112	1541	2188
109462274	2110	1559	2183
109462434	2099	1539	2189
109462594	2102	1542	2224
109462754	2087	1541	2225
109462914	2086	1531	2234
109463074	2087	1548	2260
109463234	2067	1477	2291
109463394	2043	1509	2285
109463554	2012	1468	2288
109463714	1947	1457	2299
109463874	1923	1440	2289
109464034	1895	1433	2233
109464194	1900	1385	2197
109464354	1907	1406	2177
109464514	1924	1427	2214
109464674	1958	1487	2249
109464834	1968	1505	2240
109464994	1974	1478	2232
109465154	1968	1469	2249
109465314	1946	1469	2240
109465474	1935	1487	2229
109465634	1894	1456	2171
109465794	1867	1418	2137
109465954	1854	1387	2108
109466114	1867	1369	2107
109466274	1855	1389	2171
109466434	1866	1432	2242
109466594	1872	1450	2282
109466754	1870	1449	2274
109466914	1876	1449	2268
109467074	1882	1445	2284
109467234	1892	1458	2279
109467394	1884	1455	2312
109467554	1891	1479	2336
109467714	1904	1485	2329
109467874	1915	1486	2308
109468034	1919	1490	2306
109468194	1941	1475	2299
109468354	1955	1478	2314
109468514	1937	1468	2308
109468674	1949	1465	2326
109468834	1946	1480	2350
109468994	1952	1466	2362
109469154	1949	1464	2348
109469314	1924	1430	2347
109469474	1907	1427	2340
109469634	1896	1440	2319
109469794	1892	1436	2329
109469954	1905	1435	2308
109470114	1882	1413	2277
109470274	1885	1409	2285
109470434	1879	1407	2292
109470594	1866	1391	2281
109470754	1861	1390	2289
109470914	1875	1406	2276
109471074	1858	1394	2283
109471234	1844	1385	2280
109471394	1849	1398	2235
109471554	1856	1380	2234
109471714	1857	1400	2255
109471874	1870	1411	2253
109472034	1872	1413	2247
109472194	1876	1417	2226
109472354	1872	1420	2256
109472514	1844	1447	2287
109472674	1844	1428	2278
109472834	1829	1423	2259
109472994	1799	1388	2290
109473154	1788	1406	2281
109473314	1815	1406	2284
109473474	1828	1419	2279
109473634	1840	1432	2269
109473794	1853	1421	2278
109473954	1850	1424	2286
109474114	1866	1430	2314
109474274	1860	1437	2294
109474434	1855	1433	2295
109474594	1875	1444	2289
109474754	1875	1460	2303
109474914	1877	1446	2306
109475074	1885	1457	2283
109475234	1888	1457	2260
109475394	1880	1443	2263
109475554	1878	1456	2259
109475714	1846	1457	2259
109475874	1841	1467	2261
109476034	1848	1457	2256
109476194	1834	1463	2261
109476354	1852	1474	2301
109476514	1841	1468	2302
109476674	1830	1466	2292
109476834	1832	1451	2245
109476994	1812	1437	2238
109477154	1811	1439	2223
109477314	1807	1446	2221
109477474	1813	1460	2217
109477634	1807	1465	2245
109477794	1834	1465	2272
109477954	1843	1475	2301
109478114	1865	1479	2291
109478274	1880	1500	2297
109478434	1874	1490	2334
109478594	1892	1503	2342
109478754	1880	1512	2372
109478914	1883	1498	2375
109479074	1875	1482	2342
109479234	1876	1472	2309
109479394	1869	1471	2279
109479554	1873	1473	2279
109479714	1877	1466	2296
109479874	1863	1445	2279
109480034	1850	1455	2260
109480194	1876	1464	2250
109480354	1882	1478	2279
109480514	1882	1524	2318
109480674	1892	1500	2316
109480834	1885	1517	2330
109480994	1878	1515	2325
109481154	1887	1503	2319
109481314	1896	1502	2340
109481474	1891	1519	2344
109481634	1893	1530	2365
109481794	1882	1515	2379
109481954	1861	1528	2398
109482114	1865	1520	2396
109482274	1866	1493	2391
109482434	1862	1505	2388
109482594	1874	1531	2387
109482754	1892	1521	2384
109482914	1880	1528	2355
109483074	1907	1506	2350
109483234	1934	1525	2381
109483394	1932	1516	2368
109483554	1915	1486	2364
109483714	1930	1514	2366
109483874	1907	1478	2344
109484034	1891	1475	2348
109484194	1848	1471	2343
109484354	1866	1486	2353
109484514	1860	1493	2360
109484674	1871	1479	2377
109484834	1857	1487	2356
109484994	1852	1492	2333
109485154	1838	1491	2320
109485314	1849	1519	2351
109485474	1854	1514	2383
109485634	1862	1507	2386
109485794	1865	1487	2396
109485954	1853	1500	2403
109486114	1846	1496	2387
109486274	1844	1479	2398
109486434	1845	1471	2391
109486594	1868	1484	2400
109486754	1853	1483	2403
109486914	1846	1483	2389
109487074	1865	1489	2379
109487234	1847	1473	2351
109487394	1821	1443	2317
109487554	1815	1424	2304
109487714	1794	1436	2299
109487874	1785	1442	2318
109488034	1788	1459	2329
109488194	1777	1445	2325
109488354	1770	1456	2343
109488514	1782	1474	2350
109488674	1783	1470	2363
109488834	1785	1459	2355
109488994	1772	1454	2351
109489154	1775	1447	2333
109489314	1764	1438	2347
109489474	1780	1457	2335
109489634	1773	1445	2325
109489794	1792	1454	2330
109489954	1806	1469	2321
109490114	1794	1460	2320
109490274	1813	1467	2324
109490434	1818	1468	2341
109490594	1830	1478	2362
109490754	1814	1479	2363
109490914	1809	1476	2356
109491074	1805	1487	2360
109491234	1805	1484	2335
109491394	1800	1467	2323
109491554	1797	1463	2315
109491714	1815	1466	2307
109491874	1813	1453	2310
109492034	1819	1467	2323
109492194	1797	1470	2336
109492354	1792	1458	2357
109492514	1800	1466	2376
109492674	1767	1462	2351
109492834	1777	1448	2327
109492994	1766	1435	2311
109493154	1744	1448	2290
109493314	1762	1437	2300
109493474	1736	1448	2316
109493634	1737	1419	2321
109493794	1738	1441	2304
109493954	1734	1435	2318
109494114	1737	1420	2311
109494274	1751	1444	2320
109494434	1763	1450	2309
109494594	1767	1458	2272
109494754	1788	1456	2269
109494914	1794	1444	2262
109495074	1811	1460	2269
109495234	1813	1465	2294
109495394	1844	1490	2299
109495554	1822	1469	2285
109495714	1823	1475	2301
109495874	1810	1477	2306
109496034	1806	1483	2325
109496194	1811	1481	2348
109496354	1812	1498	2363
109496514	1786	1482	2354
109496674	1783	1476	2323
109496834	1771	1454	2310
109496994	1771	1450	2317
109497154	1752	1445	2321
109497314	1727	1435	2309
109497474	1719	1436	2297
109497634	1732	1435	2290
109497794	1749	1440	2268
109497954	1758	1434	2264
109498114	1763	1451	2269
109498274	1765	1450	2273
109498434	1778	1444	2286
109498594	1804	1448	2292
109498754	1792	1459	2300
109498914	1813	1469	2288
109499074	1810	1485	2311
109499234	1823	1506	2331
109499394	1812	1488	2351
109499554	1815	1488	2380
109499714	1808	1484	2358
109499874	1781	1471	2333
109500034	1800	1449	2294
109500194	1777	1454	2302
109500354	1777	1443	2267
109500514	1782	1461	2268
109500674	1787	1449	2287
109500834	1795	1435	2280
109500994	1799	1454	2256
109501154	1816	1456	2276
109501314	1808	1460	2271
109501474	1811	1460	2286
109501634	1786	1481	2307
109501794	1805	1469	2317
109501954	1764	1466	2332
109502114	1752	1459	2317
109502274	1738	1453	2316
109502434	1739	1441	2301
109502594	1754	1440	2294
109502754	1753	1443	2265
109502914	1762	1461	2277
109503074	1774	1454	2270
109503234	1797	1477	2302
109503394	1819	1466	2302
109503554	1842	1484	2321
109503714	1824	1490	2272
109503874	1839	1455	2256
109504034	1814	1454	2263
109504194	1825	1475	2284
109504354	1803	1483	2278
109504514	1837	1488	2319
109504674	1796	1419	2311
109504834	1772	1421	2277
109504994	1778	1429	2297
109505154	1712	1458	2295
109505314	1780	1475	2279
109505474	1770	1470	2291
109505634	1779	1468	2304
109505794	1757	1458	2319
109505954	1754	1452	2299
109506114	1763	1465	2296
109506274	1752	1444	2309
109506434	1768	1461	2304
109506594	1768	1471	2303
109506754	1762	1414	2297
109506914	1784	1460	2295
109507074	1790	1452	2300
109507234	1772	1444	2280
109507394	1779	1454	2272
109507554	1789	1440	2267
109507714	1756	1429	2281
109507874	1736	1411	2249
109508034	1718	1412	2238
109508194	1737	1401	2243
109508354	1722	1423	2234
109508514	1754	1409	2282
109508674	1785	1396	2278
109508834	1812	1382	2280
109508994	1795	1378	2268
109509154	1785	1380	2257
109509314	1774	1377	2267
109509474	1795	1337	2232
109509634	1820	1317	2236
109509794	1801	1339	2174
109509954	1790	1379	2135
109510114	1751	1391	2132
109510274	1725	1400	2157
109510434	1730	1387	2244
109510594	1604	1618	2390
109510754	1823	1420	2430
109510914	1890	1391	2291
109511074	1895	1423	2183
109511234	1891	1436	2104
109511394	1888	1427	2096
109511554	1877	1437	2099
109511714	1866	1423	2063
109511874	1822	1386	2048
109512034	1776	1349	2035
109512194	1773	1308	2044
109512354	1764	1312	2078
109512514	1743	1309	2047
109512674	1752	1287	1946
109512834	1782	1240	1867
109512994	1787	1210	1799
109513154	1815	1167	1721
109513314	1884	1140	1711
109513474	1924	1146	1659
109513634	1973	1167	1618
109513794	1959	1138	1597
109513954	1961	1104	1549
109514114	1969	1061	1542
109514274	1947	1039	1572
109514434	1947	1014	1608
109514594	1945	1024	1632
109514754	1967	1091	1662
109514914	1993	1128	1639
109515074	2019	1150	1649
109515234	2001	1164	1679
109515394	1921	1296	1747
109515554	1865	1281	1882
109515714	2033	1287	1808
109515874	2150	1340	1676
109516034	2209	1391	1678
109516194	2200	1424	1678
109516354	2202	1400	1654
109516514	2248	1403	1621
109516674	2299	1379	1563
109516834	2273	1333	1493
109516994	2252	1311	1447
109517154	2199	1312	1454
109517314	2159	1331	1475
109517474	2186	1313	1470
109517634	2204	1232	1467
109517794	2209	1143	1416
109517954	2203	1071	1426
109518114	2117	1079	1451
109518274	2249	1001	1520
109518434	2082	1010	1695
109518594	2171	983	1738
109518754	2113	1066	1672
109518914	2072	1100	1612
109519074	2070	1142	1557
109519234	2016	1170	1526
109519394	1952	1237	1426
109519554	2003	1168	1395
109519714	1950	1121	1403
109519874	1926	986	1528
109520034	1912	876	1835
109520194	1862	877	1969
109520354	1855	942	1954
109520514	1835	969	1916
109520674	1856	1056	1805
109520834	1901	1052	1769
109520994	1934	1055	1739
109521154	1969	1052	1685
109521314	1980	1076	1690
109521474	1987	1095	1657
109521634	1990	1111	1622
109521794	2004	1115	1623
109521954	2024	1146	1645
