Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Gyroscope X	Gyroscope Y	Gyroscope Z
CAL	CAL	CAL	CAL
mSecs	deg/sec	deg/sec	deg/sec
3339810,608	92,308	-19,414	-208,791
3339815,491	96,703	-18,681	-217,949
3339820,374	96,703	-15,751	-217,949
3339825,256	104,762	-8,059	-233,700
3339830,139	99,634	-9,524	-235,531
3339835,022	93,773	-0,733	-219,780
3339839,905	91,941	-8,425	-196,703
3339844,788	91,941	-28,571	-190,476
3339849,670	94,505	-36,630	-195,238
3339854,553	109,158	-32,601	-198,168
3339859,436	117,582	-30,769	-199,634
3339864,319	129,304	-26,374	-202,198
3339869,202	101,832	-32,967	72,527
3339874,084	124,542	-83,150	-193,040
3339878,967	132,967	-84,615	-263,370
3339883,850	124,542	-50,549	-255,311
3339888,733	117,582	-39,560	-217,949
3339893,616	109,158	-41,026	-186,447
3339898,499	109,158	-13,553	-190,842
3339903,381	126,007	-61,172	-208,059
3339908,264	154,945	-11,722	-253,846
3339913,147	173,993	-20,147	-289,011
3339918,030	198,901	-23,443	-294,872
3339922,913	198,168	-20,513	-303,663
3339927,795	200,000	-10,256	-291,209
3339932,678	193,773	-24,908	-276,190
3339937,561	195,971	-17,582	-249,451
3339942,444	168,864	-50,916	-233,700
3339947,327	170,696	-27,839	-212,454
3339952,209	151,282	-32,601	-200,366
3339957,092	138,828	-28,571	-188,278
3339961,975	144,689	-37,363	-163,736
3339966,858	143,223	-34,799	-167,033
3339971,741	147,253	-39,927	-178,755
3339976,624	147,619	-30,769	-173,626
3339981,506	156,410	-25,641	-187,912
3339986,389	167,399	-23,443	-209,158
3339991,272	173,993	-18,681	-216,117
3339996,155	189,011	-15,018	-224,542
3340001,038	198,535	-2,930	-223,810
3340005,920	193,040	-7,692	-245,788
3340010,803	194,505	-5,861	-255,678
3340015,686	182,784	-7,326	-257,509
3340020,569	164,469	-12,088	-252,015
3340025,452	150,916	-13,187	-240,659
3340030,334	142,125	-18,681	-233,700
3340035,217	133,333	-20,879	-235,531
3340040,100	127,839	-24,176	-227,473
3340044,983	127,839	-23,443	-232,601
3340049,866	131,136	-29,304	-219,414
3340054,749	129,670	-36,996	-201,465
3340059,631	131,502	-44,689	-208,059
3340064,514	127,106	-39,927	-223,443
3340069,397	119,780	-36,630	-233,700
3340074,280	122,711	-30,769	-237,363
3340079,163	123,810	-32,234	-232,967
3340084,045	130,037	-39,927	-218,681
3340088,928	127,106	-52,747	-206,960
3340093,811	119,780	-56,044	-201,465
3340098,694	123,810	-53,480	-204,396
3340103,577	128,571	-50,183	-204,762
3340108,459	136,630	-49,817	-203,297
3340113,342	148,352	-47,985	-196,703
3340118,225	152,381	-41,758	-207,326
3340123,108	152,381	-30,769	-220,879
3340127,991	150,916	-24,908	-235,165
3340132,874	144,689	-34,432	-250,916
3340137,756	139,194	-38,462	-247,985
3340142,639	138,462	-41,392	-240,293
3340147,522	141,392	-45,055	-220,513
3340152,405	134,066	-46,886	-215,751
3340157,288	123,810	-49,817	-224,542
3340162,170	102,930	-56,410	-226,007
3340167,053	86,813	-65,568	-219,048
3340171,936	76,190	-69,597	-216,117
3340176,819	74,359	-67,033	-211,355
3340181,702	84,982	-69,963	-202,564
3340186,584	92,674	-68,864	-200,733
3340191,467	102,930	-69,231	-205,495
3340196,350	96,703	-69,597	-216,850
3340201,233	99,634	-61,905	-219,780
3340206,116	100,366	-58,974	-212,088
3340210,999	107,326	-57,509	-212,821
3340215,881	118,681	-49,817	-221,612
3340220,764	127,839	-43,223	-221,245
3340225,647	127,839	-42,125	-210,623
3340230,530	126,374	-43,956	-201,465
3340235,413	118,681	-40,659	-197,436
3340240,295	109,890	-43,223	-209,158
3340245,178	93,773	-54,945	-210,623
3340250,061	87,179	-58,608	-195,238
3340254,944	90,110	-55,678	-182,418
3340259,827	84,982	-55,311	-172,161
3340264,709	83,150	-57,875	-178,388
3340269,592	83,516	-61,172	-190,110
3340274,475	72,161	-64,835	-198,535
3340279,358	65,934	-63,736	-200,733
3340284,241	66,667	-67,399	-199,634
3340289,124	65,934	-68,498	-190,476
3340294,006	65,934	-62,271	-190,476
3340298,889	65,934	-70,330	-184,982
3340303,772	69,963	-73,260	-180,952
3340308,655	69,963	-61,172	-173,993
3340313,538	75,092	-60,806	-177,289
3340318,420	75,092	-57,509	-175,092
3340323,303	84,615	-58,974	-179,853
3340328,186	78,388	-63,736	-178,388
3340333,069	86,447	-61,905	-178,022
3340337,952	93,773	-60,440	-168,864
3340342,834	93,773	-54,212	-161,905
3340347,717	92,308	-49,451	-161,538
3340352,600	101,465	-47,253	-164,103
3340357,483	99,267	-42,857	-160,806
3340362,366	102,930	-45,788	-168,132
3340367,249	93,773	-52,015	-156,777
3340372,131	91,941	-52,015	-163,370
3340377,014	83,516	-56,777	-167,766
3340381,897	75,824	-63,004	-168,498
3340386,780	80,952	-73,260	-167,399
3340391,663	74,725	-78,022	-172,894
3340396,545	72,894	-78,388	-168,864
3340401,428	78,022	-86,081	-165,201
3340406,311	77,289	-86,813	-156,044
3340411,194	80,586	-88,278	-152,747
3340416,077	82,051	-89,011	-162,637
3340420,959	88,645	-90,476	-160,073
3340425,842	85,348	-93,040	-149,084
3340430,725	89,744	-91,575	-147,253
3340435,608	91,209	-92,674	-150,916
