Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1	Shimmer 1
Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z	Timestamp	Accelerometer X	Accelerometer Y	Accelerometer Z
RAW	RAW	RAW	RAW	CAL	CAL	CAL	CAL
No unit	No unit	No unit	No unit	mSecs	m/(sec^2)*	m/(sec^2)*	m/(sec^2)*
3425	2954	2082	1686	46104,5227050781	8,97029702970297	0,336633663366337	-3,58415841584158
3585	2973	2106	1689	46109,4055175781	9,15841584158416	0,574257425742574	-3,55445544554455
3745	2987	2095	1691	46114,2883300781	9,2970297029703	0,465346534653465	-3,53465346534653
3905	2988	2073	1679	46119,1711425781	9,30693069306931	0,247524752475248	-3,65346534653465
4065	2982	2083	1691	46124,0539550781	9,24752475247525	0,346534653465347	-3,53465346534653
4225	2978	2086	1675	46128,9367675781	9,20792079207921	0,376237623762376	-3,69306930693069
4385	2979	2090	1693	46133,8195800781	9,21782178217822	0,415841584158416	-3,51485148514851
4545	2986	2098	1694	46138,7023925781	9,28712871287129	0,495049504950495	-3,50495049504951
4705	2981	2098	1698	46143,5852050781	9,23762376237624	0,495049504950495	-3,46534653465347
4865	2980	2059	1689	46148,4680175781	9,22772277227723	0,108910891089109	-3,55445544554455
5025	3003	2081	1674	46153,3508300781	9,45544554455446	0,326732673267327	-3,7029702970297
5185	2991	2094	1683	46158,2336425781	9,33663366336634	0,455445544554455	-3,61386138613861
5345	2971	2074	1699	46163,1164550781	9,13861386138614	0,257425742574257	-3,45544554455446
5505	2989	2094	1707	46167,9992675781	9,31683168316832	0,455445544554455	-3,37623762376238
5665	2977	2062	1675	46172,8820800781	9,1980198019802	0,138613861386139	-3,69306930693069
5825	2982	2099	1667	46177,7648925781	9,24752475247525	0,504950495049505	-3,77227722772277
5985	2989	2082	1691	46182,6477050781	9,31683168316832	0,336633663366337	-3,53465346534653
6145	2979	2094	1708	46187,5305175781	9,21782178217822	0,455445544554455	-3,36633663366337
6305	2976	2076	1713	46192,4133300781	9,18811881188119	0,277227722772277	-3,31683168316832
6465	2983	2081	1689	46197,2961425781	9,25742574257426	0,326732673267327	-3,55445544554455
6625	2972	2081	1696	46202,1789550781	9,14851485148515	0,326732673267327	-3,48514851485149
6785	2978	2090	1703	46207,0617675781	9,20792079207921	0,415841584158416	-3,41584158415842
6945	2992	2081	1681	46211,9445800781	9,34653465346535	0,326732673267327	-3,63366336633663
7105	2987	2093	1696	46216,8273925781	9,2970297029703	0,445544554455446	-3,48514851485149
7265	2985	2090	1695	46221,7102050781	9,27722772277228	0,415841584158416	-3,4950495049505
7425	2980	2086	1696	46226,5930175781	9,22772277227723	0,376237623762376	-3,48514851485149
7585	2954	2087	1691	46231,4758300781	8,97029702970297	0,386138613861386	-3,53465346534653
7745	2961	2082	1701	46236,3586425781	9,03960396039604	0,336633663366337	-3,43564356435644
7905	2986	2082	1699	46241,2414550781	9,28712871287129	0,336633663366337	-3,45544554455446
8065	2988	2083	1700	46246,1242675781	9,30693069306931	0,346534653465347	-3,44554455445545
8225	2993	2079	1689	46251,0070800781	9,35643564356436	0,306930693069307	-3,55445544554455
8385	2976	2068	1705	46255,8898925781	9,18811881188119	0,198019801980198	-3,3960396039604
8545	2998	2076	1683	46260,7727050781	9,40594059405941	0,277227722772277	-3,61386138613861
8705	2994	2083	1708	46265,6555175781	9,36633663366337	0,346534653465347	-3,36633663366337
8865	2990	2092	1695	46270,5383300781	9,32673267326733	0,435643564356436	-3,4950495049505
9025	2981	2072	1704	46275,4211425781	9,23762376237624	0,237623762376238	-3,40594059405941
9185	2968	2066	1709	46280,3039550781	9,10891089108911	0,178217821782178	-3,35643564356436
9345	2975	2084	1695	46285,1867675781	9,17821782178218	0,356435643564356	-3,4950495049505
9505	2998	2063	1691	46290,0695800781	9,40594059405941	0,148514851485149	-3,53465346534653
9665	2971	2089	1699	46294,9523925781	9,13861386138614	0,405940594059406	-3,45544554455446
9825	2985	2084	1694	46299,8352050781	9,27722772277228	0,356435643564356	-3,50495049504951
9985	2966	2079	1697	46304,7180175781	9,08910891089109	0,306930693069307	-3,47524752475248
10145	3005	2080	1691	46309,6008300781	9,47524752475248	0,316831683168317	-3,53465346534653
10305	2971	2064	1693	46314,4836425781	9,13861386138614	0,158415841584158	-3,51485148514851
10465	2969	2086	1683	46319,3664550781	9,11881188118812	0,376237623762376	-3,61386138613861
10625	2974	2105	1691	46324,2492675781	9,16831683168317	0,564356435643564	-3,53465346534653
10785	2967	2092	1669	46329,1320800781	9,0990099009901	0,435643564356436	-3,75247524752475
10945	2976	2086	1697	46334,0148925781	9,18811881188119	0,376237623762376	-3,47524752475248
11105	2983	2097	1696	46338,8977050781	9,25742574257426	0,485148514851485	-3,48514851485149
11265	2983	2083	1699	46343,7805175781	9,25742574257426	0,346534653465347	-3,45544554455446
11425	2985	2089	1700	46348,6633300781	9,27722772277228	0,405940594059406	-3,44554455445545
11585	2968	2085	1702	46353,5461425781	9,10891089108911	0,366336633663366	-3,42574257425743
11745	2969	2096	1692	46358,4289550781	9,11881188118812	0,475247524752475	-3,52475247524752
11905	2984	2089	1695	46363,3117675781	9,26732673267327	0,405940594059406	-3,4950495049505
12065	2986	2098	1705	46368,1945800781	9,28712871287129	0,495049504950495	-3,3960396039604
12225	2969	2089	1681	46373,0773925781	9,11881188118812	0,405940594059406	-3,63366336633663
12385	2981	2072	1695	46377,9602050781	9,23762376237624	0,237623762376238	-3,4950495049505
12545	2982	2083	1699	46382,8430175781	9,24752475247525	0,346534653465347	-3,45544554455446
12705	2988	2085	1668	46387,7258300781	9,30693069306931	0,366336633663366	-3,76237623762376
12865	2978	2065	1701	46392,6086425781	9,20792079207921	0,168316831683168	-3,43564356435644
13025	2964	2081	1701	46397,4914550781	9,06930693069307	0,326732673267327	-3,43564356435644
13185	2980	2090	1695	46402,3742675781	9,22772277227723	0,415841584158416	-3,4950495049505
13345	2973	2079	1699	46407,2570800781	9,15841584158416	0,306930693069307	-3,45544554455446
13505	2979	2105	1678	46412,1398925781	9,21782178217822	0,564356435643564	-3,66336633663366
13665	2981	2103	1708	46417,0227050781	9,23762376237624	0,544554455445545	-3,36633663366337
13825	2993	2075	1688	46421,9055175781	9,35643564356436	0,267326732673267	-3,56435643564356
13985	3004	2081	1674	46426,7883300781	9,46534653465346	0,326732673267327	-3,7029702970297
14145	2978	2087	1690	46431,6711425781	9,20792079207921	0,386138613861386	-3,54455445544554
14305	2964	2075	1673	46436,5539550781	9,06930693069307	0,267326732673267	-3,71287128712871
14465	2982	2097	1691	46441,4367675781	9,24752475247525	0,485148514851485	-3,53465346534653
14625	2989	2073	1690	46446,3195800781	9,31683168316832	0,247524752475248	-3,54455445544554
14785	2976	2080	1700	46451,2023925781	9,18811881188119	0,316831683168317	-3,44554455445545
14945	2980	2079	1676	46456,0852050781	9,22772277227723	0,306930693069307	-3,68316831683168
15105	2984	2094	1688	46460,9680175781	9,26732673267327	0,455445544554455	-3,56435643564356
15265	2985	2069	1702	46465,8508300781	9,27722772277228	0,207920792079208	-3,42574257425743
15425	2987	2111	1673	46470,7336425781	9,2970297029703	0,623762376237624	-3,71287128712871
15585	2987	2079	1649	46475,6164550781	9,2970297029703	0,306930693069307	-3,95049504950495
15745	2939	2090	1742	46480,4992675781	8,82178217821782	0,415841584158416	-3,02970297029703
15905	2998	2097	1688	46485,3820800781	9,40594059405941	0,485148514851485	-3,56435643564356
16065	2976	2102	1691	46490,2648925781	9,18811881188119	0,534653465346535	-3,53465346534653
16225	2992	2070	1691	46495,1477050781	9,34653465346535	0,217821782178218	-3,53465346534653
16385	2984	2071	1675	46500,0305175781	9,26732673267327	0,227722772277228	-3,69306930693069
16545	2975	2095	1707	46504,9133300781	9,17821782178218	0,465346534653465	-3,37623762376238
16705	2977	2070	1689	46509,7961425781	9,1980198019802	0,217821782178218	-3,55445544554455
16865	3004	2058	1688	46514,6789550781	9,46534653465346	0,099009900990099	-3,56435643564356
17025	2989	2073	1695	46519,5617675781	9,31683168316832	0,247524752475248	-3,4950495049505
17185	2988	2087	1699	46524,4445800781	9,30693069306931	0,386138613861386	-3,45544554455446
17345	2964	2088	1689	46529,3273925781	9,06930693069307	0,396039603960396	-3,55445544554455
17505	2977	2093	1729	46534,2102050781	9,1980198019802	0,445544554455446	-3,15841584158416
17665	2982	2058	1679	46539,0930175781	9,24752475247525	0,099009900990099	-3,65346534653465
17825	3004	2080	1705	46543,9758300781	9,46534653465346	0,316831683168317	-3,3960396039604
17985	2987	2074	1675	46548,8586425781	9,2970297029703	0,257425742574257	-3,69306930693069
18145	2982	2073	1686	46553,7414550781	9,24752475247525	0,247524752475248	-3,58415841584158
18305	2987	2080	1688	46558,6242675781	9,2970297029703	0,316831683168317	-3,56435643564356
18465	2965	2072	1711	46563,5070800781	9,07920792079208	0,237623762376238	-3,33663366336634
18625	2984	2085	1682	46568,3898925781	9,26732673267327	0,366336633663366	-3,62376237623762
18785	2976	2070	1692	46573,2727050781	9,18811881188119	0,217821782178218	-3,52475247524752
18945	2958	2078	1701	46578,1555175781	9,00990099009901	0,297029702970297	-3,43564356435644
19105	2970	2099	1706	46583,0383300781	9,12871287128713	0,504950495049505	-3,38613861386139
19265	2967	2063	1682	46587,9211425781	9,0990099009901	0,148514851485149	-3,62376237623762
19425	2957	2101	1707	46592,8039550781	9	0,524752475247525	-3,37623762376238
19585	2984	2075	1692	46597,6867675781	9,26732673267327	0,267326732673267	-3,52475247524752
19745	2993	2099	1678	46602,5695800781	9,35643564356436	0,504950495049505	-3,66336633663366
19905	3002	2085	1717	46607,4523925781	9,44554455445545	0,366336633663366	-3,27722772277228
20065	2992	2085	1700	46612,3352050781	9,34653465346535	0,366336633663366	-3,44554455445545
20225	2990	2075	1691	46617,2180175781	9,32673267326733	0,267326732673267	-3,53465346534653
20385	2989	2097	1685	46622,1008300781	9,31683168316832	0,485148514851485	-3,59405940594059
20545	2982	2085	1689	46626,9836425781	9,24752475247525	0,366336633663366	-3,55445544554455
20705	2991	2097	1691	46631,8664550781	9,33663366336634	0,485148514851485	-3,53465346534653
20865	2992	2068	1708	46636,7492675781	9,34653465346535	0,198019801980198	-3,36633663366337
21025	2962	2079	1690	46641,6320800781	9,04950495049505	0,306930693069307	-3,54455445544554
21185	2992	2103	1692	46646,5148925781	9,34653465346535	0,544554455445545	-3,52475247524752
21345	2956	2075	1727	46651,3977050781	8,99009900990099	0,267326732673267	-3,17821782178218
21505	2978	2084	1693	46656,2805175781	9,20792079207921	0,356435643564356	-3,51485148514851
21665	2983	2099	1698	46661,1633300781	9,25742574257426	0,504950495049505	-3,46534653465347
21825	2962	2097	1707	46666,0461425781	9,04950495049505	0,485148514851485	-3,37623762376238
21985	2992	2079	1689	46670,9289550781	9,34653465346535	0,306930693069307	-3,55445544554455
22145	2971	2085	1706	46675,8117675781	9,13861386138614	0,366336633663366	-3,38613861386139
22305	2962	2071	1686	46680,6945800781	9,04950495049505	0,227722772277228	-3,58415841584158
22465	2998	2090	1721	46685,5773925781	9,40594059405941	0,415841584158416	-3,23762376237624
22625	2984	2081	1688	46690,4602050781	9,26732673267327	0,326732673267327	-3,56435643564356
22785	2976	2076	1698	46695,3430175781	9,18811881188119	0,277227722772277	-3,46534653465347
22945	2961	2089	1708	46700,2258300781	9,03960396039604	0,405940594059406	-3,36633663366337
23105	2978	2085	1688	46705,1086425781	9,20792079207921	0,366336633663366	-3,56435643564356
23265	2988	2057	1679	46709,9914550781	9,30693069306931	0,0891089108910891	-3,65346534653465
23425	3002	2083	1679	46714,8742675781	9,44554455445545	0,346534653465347	-3,65346534653465
23585	2985	2081	1687	46719,7570800781	9,27722772277228	0,326732673267327	-3,57425742574257
23745	2981	2090	1695	46724,6398925781	9,23762376237624	0,415841584158416	-3,4950495049505
23905	2998	2076	1690	46729,5227050781	9,40594059405941	0,277227722772277	-3,54455445544554
24065	2972	2090	1688	46734,4055175781	9,14851485148515	0,415841584158416	-3,56435643564356
24225	2958	2087	1689	46739,2883300781	9,00990099009901	0,386138613861386	-3,55445544554455
24385	2977	2099	1711	46744,1711425781	9,1980198019802	0,504950495049505	-3,33663366336634
24545	2997	2079	1684	46749,0539550781	9,3960396039604	0,306930693069307	-3,6039603960396
24705	3002	2075	1688	46753,9367675781	9,44554455445545	0,267326732673267	-3,56435643564356
24865	2969	2071	1675	46758,8195800781	9,11881188118812	0,227722772277228	-3,69306930693069
25025	2985	2086	1707	46763,7023925781	9,27722772277228	0,376237623762376	-3,37623762376238
25185	2995	2090	1707	46768,5852050781	9,37623762376238	0,415841584158416	-3,37623762376238
25345	2975	2091	1706	46773,4680175781	9,17821782178218	0,425742574257426	-3,38613861386139
25505	2976	2081	1664	46778,3508300781	9,18811881188119	0,326732673267327	-3,8019801980198
25665	2959	2084	1708	46783,2336425781	9,01980198019802	0,356435643564356	-3,36633663366337
