Shimmer1	Shimmer1	Shimmer1	Shimmer1
Timestamp	Accelerometer X*	Accelerometer Y*	Accelerometer Z*
uncalibrated	uncalibrated	uncalibrated	uncalibrated
no units	no units	no units	no units
93469858	950	2152	1661
93470018	952	2160	1670
93470178	948	2152	1648
93470338	955	2145	1676
93470498	945	2161	1649
93470658	951	2170	1655
93470818	969	2151	1660
93470978	935	2148	1645
93471138	944	2173	1661
93471298	959	2137	1663
93471458	950	2150	1645
93471618	952	2152	1660
93471778	945	2156	1663
93471938	952	2155	1669
93472098	968	2171	1655
93472258	939	2154	1661
93472418	954	2145	1655
93472578	949	2155	1664
93472738	938	2139	1663
93472898	961	2160	1668
93473058	960	2155	1659
93473218	957	2148	1667
93473378	944	2169	1653
93473538	949	2152	1644
93473698	938	2153	1664
93473858	955	2150	1649
93474018	953	2156	1665
93474178	961	2147	1664
93474338	942	2156	1655
93474498	943	2143	1659
93474658	951	2154	1654
93474818	909	2131	1639
93474978	946	2152	1672
93475138	953	2156	1660
93475298	932	2170	1611
93475458	941	2130	1656
93475618	948	2154	1696
93475778	955	2157	1673
93475938	949	2143	1666
93476098	946	2122	1690
93476258	951	2156	1669
93476418	947	2147	1657
93476578	901	2132	1646
93476738	945	2122	1664
93476898	939	2151	1677
93477058	948	2152	1654
93477218	946	2145	1662
93477378	944	2163	1674
93477538	935	2151	1654
93477698	966	2156	1663
93477858	955	2141	1658
93478018	953	2150	1654
93478178	957	2160	1674
93478338	952	2144	1659
93478498	962	2148	1656
93478658	954	2151	1677
93478818	956	2155	1668
93478978	943	2143	1678
93479138	954	2139	1656
93479298	951	2158	1664
93479458	942	2160	1659
93479618	961	2158	1662
93479778	954	2151	1659
93479938	929	2132	1664
93480098	945	2158	1675
93480258	951	2159	1666
93480418	944	2164	1663
93480578	937	2158	1655
93480738	952	2145	1670
93480898	936	2161	1664
93481058	953	2147	1665
93481218	942	2152	1658
93481378	946	2155	1641
93481538	951	2156	1668
93481698	955	2153	1662
93481858	944	2153	1663
93482018	941	2146	1670
93482178	955	2147	1651
93482338	956	2149	1664
93482498	956	2143	1655
93482658	950	2158	1661
93482818	953	2167	1670
93482978	955	2163	1660
93483138	952	2160	1657
93483298	936	2164	1658
93483458	941	2155	1671
93483618	948	2155	1664
93483778	947	2156	1660
93483938	963	2152	1664
93484098	950	2151	1670
93484258	957	2164	1664
93484418	945	2142	1662
93484578	944	2154	1667
93484738	944	2152	1670
93484898	953	2148	1649
93485058	954	2160	1677
93485218	951	2147	1656
93485378	946	2160	1659
93485538	954	2159	1667
93485698	947	2158	1665
93485858	945	2157	1667
93486018	948	2155	1661
93486178	948	2159	1673
93486338	953	2155	1665
93486498	944	2159	1654
93486658	958	2158	1667
93486818	951	2141	1651
93486978	951	2145	1674
93487138	958	2154	1681
93487298	939	2151	1663
93487458	967	2151	1665
93487618	945	2155	1670
93487778	950	2160	1664
93487938	947	2152	1659
93488098	952	2150	1666
93488258	937	2151	1663
93488418	963	2167	1677
93488578	954	2157	1675
93488738	939	2154	1677
93488898	952	2150	1650
93489058	946	2153	1647
93489218	948	2144	1662
93489378	953	2147	1667
93489538	952	2143	1671
93489698	958	2160	1660
93489858	947	2152	1644
93490018	954	2151	1658
93490178	955	2149	1662
93490338	947	2154	1662
93490498	946	2136	1652
93490658	950	2123	1667
93490818	956	2148	1650
93490978	962	2161	1648
93491138	946	2137	1657
93491298	955	2145	1662
93491458	955	2161	1654
93491618	955	2156	1679
93491778	951	2160	1666
93491938	953	2136	1675
93492098	943	2154	1648
93492258	950	2148	1661
93492418	956	2169	1657
93492578	953	2156	1657
93492738	954	2149	1653
93492898	946	2166	1656
93493058	939	2161	1660
93493218	964	2164	1673
93493378	950	2170	1673
93493538	936	2150	1654
93493698	952	2167	1657
93493858	954	2146	1667
93494018	940	2160	1660
93494178	957	2149	1667
93494338	951	2161	1649
93494498	945	2146	1662
93494658	956	2154	1667
93494818	953	2161	1675
93494978	958	2153	1652
93495138	953	2156	1650
93495298	915	2164	1649
93495458	940	2145	1662
93495618	945	2151	1656
93495778	942	2150	1667
93495938	935	2155	1650
93496098	965	2137	1658
93496258	906	2181	1628
93496418	927	2141	1645
93496578	954	2168	1676
93496738	948	2159	1669
93496898	933	2136	1666
93497058	942	2161	1656
93497218	955	2153	1659
93497378	962	2153	1669
93497538	973	2131	1644
93497698	956	2159	1669
93497858	955	2160	1667
93498018	959	2157	1669
93498178	948	2136	1679
93498338	948	2173	1661
93498498	948	2168	1658
93498658	961	2158	1652
93498818	954	2140	1647
93498978	958	2159	1665
93499138	951	2153	1657
93499298	959	2140	1649
93499458	955	2149	1669
93499618	959	2146	1681
93499778	954	2167	1669
93499938	944	2140	1651
93500098	965	2159	1671
93500258	949	2151	1647
93500418	947	2167	1674
93500578	960	2140	1662
93500738	953	2153	1666
93500898	957	2158	1665
93501058	942	2150	1665
93501218	945	2146	1667
93501378	946	2166	1664
93501538	960	2153	1669
93501698	944	2146	1668
93501858	935	2167	1668
93502018	956	2167	1647
93502178	957	2149	1649
93502338	954	2164	1656
93502498	958	2152	1665
93502658	950	2161	1675
93502818	944	2168	1663
93502978	952	2154	1659
93503138	952	2150	1665
93503298	965	2149	1658
93503458	951	2154	1654
93503618	955	2167	1655
93503778	956	2152	1660
93503938	946	2154	1665
93504098	953	2165	1659
93504258	961	2153	1658
93504418	952	2150	1666
93504578	954	2150	1678
93504738	945	2153	1676
93504898	953	2155	1656
93505058	951	2156	1663
93505218	956	2142	1671
93505378	950	2163	1659
93505538	948	2157	1673
93505698	944	2164	1659
93505858	951	2145	1661
93506018	938	2147	1663
93506178	958	2155	1679
93506338	944	2148	1653
93506498	958	2149	1657
93506658	946	2155	1664
93506818	949	2152	1666
93506978	949	2151	1666
93507138	957	2164	1658
93507298	959	2162	1651
93507458	946	2156	1675
93507618	943	2149	1670
93507778	958	2145	1647
93507938	951	2162	1670
93508098	956	2158	1662
93508258	946	2162	1661
93508418	955	2168	1658
93508578	953	2148	1658
93508738	944	2152	1651
93508898	956	2161	1652
93509058	957	2153	1667
93509218	944	2148	1654
93509378	955	2150	1656
93509538	955	2135	1658
93509698	954	2161	1660
93509858	958	2159	1674
93510018	941	2163	1661
93510178	952	2157	1674
93510338	944	2157	1661
93510498	958	2156	1653
93510658	942	2159	1656
93510818	944	2160	1663
93510978	956	2157	1654
93511138	952	2157	1660
93511298	949	2166	1674
93511458	948	2162	1649
93511618	962	2169	1658
93511778	950	2154	1667
93511938	939	2157	1641
93512098	948	2153	1658
93512258	943	2153	1676
93512418	950	2160	1673
93512578	964	2162	1673
93512738	955	2161	1674
93512898	962	2160	1658
93513058	949	2147	1652
93513218	958	2145	1665
93513378	946	2148	1669
